23:54:00 - 02:54:00 : 7389  9.76/81.54/8.7
23:54:00 - 05:54:00 : 7597  9.77/81.58/8.65
23:54:00 - 08:54:00 : 7836  9.65/81.78/8.58
23:54:00 - 11:54:00 : 8355  9.4/82.2/8.4
23:54:00 - 14:54:00 : 8802  9.2/82.54/8.26
23:54:00 - 17:54:00 : 9041  9.16/82.7/8.14
23:54:00 - 20:54:00 : 9183  9.08/82.83/8.09
23:54:00 - 23:54:00 : 9281  9.05/82.88/8.07
23:54:00 - 02:54:00 : 9334  9.04/82.92/8.04
23:54:00 - 05:54:00 : 9352  9.04/82.94/8.02
23:54:00 - 08:54:00 : 9359  9.03/82.96/8.01
23:54:00 - 11:54:00 : 9395  9.0/83.01/7.98
23:54:00 - 14:54:00 : 9477  8.98/83.09/7.94
23:54:00 - 17:54:00 : 9533  8.94/83.14/7.92
23:54:00 - 20:54:00 : 9579  8.9/83.2/7.89
23:54:00 - 23:54:00 : 9639  8.91/83.22/7.86
23:54:00 - 02:54:00 : 9653  8.91/83.24/7.85
23:54:00 - 05:54:00 : 9657  8.93/83.22/7.85
23:54:00 - 08:54:00 : 9664  8.92/83.24/7.84
23:54:00 - 11:54:00 : 9677  8.91/83.26/7.83
23:54:00 - 14:54:00 : 9687  8.9/83.28/7.82
23:54:00 - 17:54:00 : 9695  8.9/83.28/7.82
23:54:00 - 20:54:00 : 9705  8.9/83.29/7.81
23:54:00 - 23:54:00 : 9714  8.89/83.3/7.8
23:54:00 - 02:54:00 : 9718  8.89/83.31/7.8
