Признак,Описание,Тип
ID,Уникальный идентификатор объекта,Числовой (integer)
Sex,Пол,Символьный
Age,Возраст,Числовой (integer)
State,Буквенный код штата,Символьный 
Account length,Как долго клиент обслуживается компанией,Числовой (integer)
Phone number,Номер телефона клиента,Символьный
Plans,Подключенные планы,Символьный (None; International/Voice mail or both)
Number vmail messages,Количество голосовых сообщений,Числовой (integer)
Total day minutes,Общая длительность разговоров днем, Числовой (float)
Total day calls,Общее количество звонков днем,Числовой (float)
Total day charge,Общая сумма оплаты за услуги днем,Числовой (float)
Total eve minutes,Общая длительность разговоров вечером,Числовой (float)
Total eve calls,Общее количество звонков вечером,Числовой (float)
Total eve charge,Общая сумма оплаты за услуги вечером,Числовой (float)
Total night minutes,Общая длительность разговоров ночью,Числовой (float)
Total night calls,Общее количество звонков ночью,Числовой (float)
Total night charge,Общая сумма оплаты за услуги ночью,Числовой (float)
Total intl minutes,Общая длительность международных разговоров,Числовой (float)
Total intl calls,Общее количество международных разговоров,Числовой (float)
Total intl charge,Общая сумма оплаты за международные разговор,Числовой (float)
Total charge,Общая сумма оплаты за услуги,Числовой (float)
Customer service calls,Число обращений в сервисный центр, Числовой (integer)
Churn,Отток клиента (остался или ушел),Логический (True - ушел; False - остался)
